iteration,steps_collected,episode_return_mean,safe_reach_ratio,conv_eval_success_delta_w5,high_samples,low_samples,loss_high_total,loss_low_mean,eval_n_episodes,eval_success_rate,eval_reach_rate,eval_collision_rate,eval_safe_reach_ratio,eval_min_h_agent,eval_min_h_obstacle,eval_avg_traj_length,eval_avg_skill_switches,eval_qp_feasible_rate,eval_avg_steps,eval_avg_episode_return
150.0,70.0,-0.1424681462347507,0.0,0.0,16.0,280.0,1.5067090392112732,0.05057112786914786,1.0,0.0,0.75,0.0,0.75,2.1012020111083984,0.21578598022460938,13.397465997386462,11.0,1.0,200.0,26.52792958938518
151.0,173.0,23.248707950771788,1.0,nan,36.0,692.0,9.46371865272522,0.018218552463160176,,,,,,,,,,,,
152.0,174.0,32.82068568907213,1.0,nan,36.0,696.0,17.561033725738525,0.029066240035240637,,,,,,,,,,,,
153.0,76.0,0.4363963389396668,0.0,nan,16.0,304.0,0.9143582135438919,0.05336322957422013,,,,,,,,,,,,
154.0,122.0,16.36883161190897,0.5,nan,28.0,488.0,5.989316940307617,0.05158601727390533,,,,,,,,,,,,
155.0,140.0,28.5167922482593,1.0,nan,28.0,560.0,17.31367540359497,0.024425426827427543,,,,,,,,,,,,
156.0,123.0,4.184208713639527,0.5,nan,28.0,492.0,2.5557831525802612,0.04846161809097893,,,,,,,,,,,,
157.0,68.0,0.337144538462162,0.0,nan,16.0,272.0,1.1011278331279755,0.03213829571733484,,,,,,,,,,,,
158.0,136.0,48.77171514233111,0.75,nan,36.0,544.0,27.254658699035645,0.010621072358970807,,,,,,,,,,,,
159.0,200.0,63.09583074850965,0.75,nan,44.0,800.0,29.15195369720459,0.007347065516050577,,,,,,,,,,,,
160.0,150.0,38.0100493225793,1.0,0.0,32.0,600.0,13.070602655410767,0.016224297520565756,1.0,0.0,0.75,0.0,0.75,2.0926222801208496,0.8391270637512207,10.799661024997476,10.0,1.0,200.0,36.17498524656985
161.0,200.0,30.298649039748117,0.25,nan,44.0,800.0,20.019792556762695,0.021966289281788454,,,,,,,,,,,,
162.0,200.0,34.680039890948684,0.5,nan,40.0,800.0,8.2107515335083,0.02395281973524277,,,,,,,,,,,,
163.0,46.0,0.28684207439422615,0.0,nan,12.0,184.0,1.4325203597545624,0.021583391223202852,,,,,,,,,,,,
164.0,25.0,-0.3589171409606933,0.0,nan,8.0,100.0,3.4576846957206726,0.04987777432412258,,,,,,,,,,,,
165.0,200.0,52.254407590907064,0.75,nan,44.0,800.0,11.683443546295166,0.012877099389878577,,,,,,,,,,,,
166.0,79.0,1.596895209155046,0.25,nan,16.0,316.0,1.8396717011928558,0.009404867617956114,,,,,,,,,,,,
167.0,200.0,25.38654247010127,0.75,nan,40.0,800.0,10.885440826416016,0.010449338195181568,,,,,,,,,,,,
168.0,93.0,4.689244473311119,0.25,nan,20.0,372.0,6.185531973838806,0.02412989823945111,,,,,,,,,,,,
169.0,200.0,34.79191976021976,1.0,nan,40.0,800.0,9.1955246925354,0.018134197226274296,,,,,,,,,,,,
170.0,200.0,0.10229157060384705,0.0,0.0,40.0,800.0,2.034298688173294,0.027335784165282817,1.0,0.0,0.0,0.25,0.0,4.2305498123168945,-0.20330315828323364,5.104658448370174,3.0,1.0,53.0,0.19413056492805483
171.0,200.0,7.886368469242006,0.25,nan,40.0,800.0,5.7050701379776,0.02615814668437011,,,,,,,,,,,,
172.0,200.0,29.549743432237307,0.75,nan,44.0,800.0,15.930736303329468,0.01012134787563701,,,,,,,,,,,,
173.0,33.0,0.06775313138961793,0.0,nan,8.0,132.0,2.4599615335464478,0.07014081535409346,,,,,,,,,,,,
174.0,157.0,36.29477852240207,1.0,nan,32.0,628.0,18.00010919570923,0.015754309234224273,,,,,,,,,,,,
175.0,181.0,44.940751232553744,0.5,nan,44.0,724.0,9.461166381835938,0.009182379003850327,,,,,,,,,,,,
176.0,87.0,0.3987964968383312,0.0,nan,20.0,348.0,2.105942130088806,0.02894547547234172,,,,,,,,,,,,
177.0,102.0,1.633484557662158,0.25,nan,24.0,408.0,2.1104390025138855,0.2597754366362661,,,,,,,,,,,,
178.0,166.0,34.81760824002327,1.0,nan,36.0,664.0,8.664682626724243,0.025919015781745713,,,,,,,,,,,,
179.0,200.0,30.975634919246662,0.75,nan,40.0,800.0,9.698294162750244,0.015046461566610603,,,,,,,,,,,,
180.0,37.0,0.1165427970886231,0.0,0.0,8.0,148.0,1.7053778767585754,0.08090946149923184,1.0,0.0,0.75,0.0,0.75,1.154717206954956,0.3965343236923218,12.971518452941382,10.0,1.0,200.0,25.30724682067521
181.0,31.0,-0.5298856830596924,0.0,nan,8.0,124.0,1.9267412722110748,0.01956595416155441,,,,,,,,,,,,
182.0,200.0,35.48682824922725,0.5,nan,40.0,800.0,9.8263521194458,0.01809116324730642,,,,,,,,,,,,
183.0,41.0,-0.22974160373210906,0.0,nan,12.0,164.0,2.1905625462532043,0.05052859536839822,,,,,,,,,,,,
184.0,200.0,49.039138405863206,0.75,nan,44.0,800.0,9.757366180419922,0.004228813482859195,,,,,,,,,,,,
185.0,35.0,-0.1129406467080116,0.0,nan,8.0,140.0,2.5543190240859985,0.04931959757733628,,,,,,,,,,,,
186.0,111.0,0.789189779162407,0.0,nan,24.0,444.0,1.1381447613239288,0.036273242316079646,,,,,,,,,,,,
187.0,117.0,1.2989687442965807,0.25,nan,24.0,468.0,2.016387462615967,0.03533902066680028,,,,,,,,,,,,
188.0,191.0,48.82472368947698,1.0,nan,40.0,764.0,11.854449033737183,0.0038190744323038928,,,,,,,,,,,,
189.0,44.0,0.7072660325467588,0.25,nan,12.0,176.0,2.1317924857139587,0.02877271407533044,,,,,,,,,,,,
