iteration,n_rounds,skill_ids,skill_names,t_start,t_end
57,13,"[2, 2, 0, 2, 4, 0, 4, 0, 1, 4, 0, 0, 0]","[""accelerate"", ""accelerate"", ""turn_left"", ""accelerate"", ""cruise"", ""turn_left"", ""cruise"", ""turn_left"", ""turn_right"", ""cruise"", ""turn_left"", ""turn_left"", ""turn_left""]","[0, 20, 40, 48, 67, 87, 100, 120, 132, 148, 168, 180, 192]","[20, 40, 48, 67, 87, 100, 120, 132, 148, 168, 180, 192, 194]"
58,12,"[0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 1, 4]","[""turn_left"", ""turn_left"", ""cruise"", ""turn_left"", ""turn_left"", ""accelerate"", ""turn_left"", ""turn_left"", ""turn_left"", ""turn_left"", ""turn_right"", ""cruise""]","[0, 6, 8, 28, 29, 31, 51, 63, 79, 99, 119, 131]","[6, 8, 28, 29, 31, 51, 63, 79, 99, 119, 131, 140]"
59,13,"[4, 0, 1, 2, 4, 2, 0, 1, 0, 3, 4, 2, 0]","[""cruise"", ""turn_left"", ""turn_right"", ""accelerate"", ""cruise"", ""accelerate"", ""turn_left"", ""turn_right"", ""turn_left"", ""decelerate"", ""cruise"", ""accelerate"", ""turn_left""]","[0, 20, 24, 44, 64, 84, 97, 109, 127, 139, 159, 179, 199]","[20, 24, 44, 64, 84, 97, 109, 127, 139, 159, 179, 199, 200]"
60,12,"[2, 2, 4, 0, 1, 0, 2, 0, 4, 0, 0, 4]","[""accelerate"", ""accelerate"", ""cruise"", ""turn_left"", ""turn_right"", ""turn_left"", ""accelerate"", ""turn_left"", ""cruise"", ""turn_left"", ""turn_left"", ""cruise""]","[0, 20, 40, 60, 70, 84, 94, 114, 125, 145, 155, 166]","[20, 40, 60, 70, 84, 94, 114, 125, 145, 155, 166, 173]"
61,13,"[2, 0, 0, 1, 4, 2, 2, 0, 4, 0, 1, 0, 1]","[""accelerate"", ""turn_left"", ""turn_left"", ""turn_right"", ""cruise"", ""accelerate"", ""accelerate"", ""turn_left"", ""cruise"", ""turn_left"", ""turn_right"", ""turn_left"", ""turn_right""]","[0, 20, 28, 39, 50, 70, 85, 86, 97, 117, 128, 145, 156]","[20, 28, 39, 50, 70, 85, 86, 97, 117, 128, 145, 156, 170]"
62,15,"[3, 4, 2, 2, 2, 1, 0, 1, 4, 2, 3, 4, 0, 1, 4]","[""decelerate"", ""cruise"", ""accelerate"", ""accelerate"", ""accelerate"", ""turn_right"", ""turn_left"", ""turn_right"", ""cruise"", ""accelerate"", ""decelerate"", ""cruise"", ""turn_left"", ""turn_right"", ""cruise""]","[0, 6, 26, 46, 61, 62, 79, 89, 105, 125, 126, 146, 166, 174, 194]","[6, 26, 46, 61, 62, 79, 89, 105, 125, 126, 146, 166, 174, 194, 200]"
63,14,"[1, 2, 0, 3, 2, 3, 2, 4, 2, 2, 0, 1, 1, 1]","[""turn_right"", ""accelerate"", ""turn_left"", ""decelerate"", ""accelerate"", ""decelerate"", ""accelerate"", ""cruise"", ""accelerate"", ""accelerate"", ""turn_left"", ""turn_right"", ""turn_right"", ""turn_right""]","[0, 6, 26, 46, 55, 75, 87, 107, 127, 140, 141, 152, 168, 185]","[6, 26, 46, 55, 75, 87, 107, 127, 140, 141, 152, 168, 185, 200]"
64,15,"[0, 1, 2, 1, 0, 1, 1, 4, 0, 0, 0, 1, 2, 0, 2]","[""turn_left"", ""turn_right"", ""accelerate"", ""turn_right"", ""turn_left"", ""turn_right"", ""turn_right"", ""cruise"", ""turn_left"", ""turn_left"", ""turn_left"", ""turn_right"", ""accelerate"", ""turn_left"", ""accelerate""]","[0, 4, 24, 44, 64, 73, 87, 103, 123, 134, 144, 153, 167, 187, 199]","[4, 24, 44, 64, 73, 87, 103, 123, 134, 144, 153, 167, 187, 199, 200]"
65,14,"[1, 2, 0, 2, 2, 0, 0, 1, 2, 3, 2, 1, 4, 2]","[""turn_right"", ""accelerate"", ""turn_left"", ""accelerate"", ""accelerate"", ""turn_left"", ""turn_left"", ""turn_right"", ""accelerate"", ""decelerate"", ""accelerate"", ""turn_right"", ""cruise"", ""accelerate""]","[0, 5, 25, 45, 63, 64, 78, 90, 107, 112, 131, 151, 165, 185]","[5, 25, 45, 63, 64, 78, 90, 107, 112, 131, 151, 165, 185, 200]"
66,11,"[3, 4, 2, 0, 1, 0, 0, 1, 4, 0, 0]","[""decelerate"", ""cruise"", ""accelerate"", ""turn_left"", ""turn_right"", ""turn_left"", ""turn_left"", ""turn_right"", ""cruise"", ""turn_left"", ""turn_left""]","[0, 5, 25, 45, 57, 67, 79, 94, 106, 126, 139]","[5, 25, 45, 57, 67, 79, 94, 106, 126, 139, 153]"
67,13,"[4, 4, 4, 2, 4, 2, 1, 0, 1, 0, 0, 1, 1]","[""cruise"", ""cruise"", ""cruise"", ""accelerate"", ""cruise"", ""accelerate"", ""turn_right"", ""turn_left"", ""turn_right"", ""turn_left"", ""turn_left"", ""turn_right"", ""turn_right""]","[0, 20, 40, 60, 80, 100, 110, 125, 135, 150, 160, 170, 184]","[20, 40, 60, 80, 100, 110, 125, 135, 150, 160, 170, 184, 200]"
68,11,"[1, 2, 0, 4, 2, 4, 2, 4, 4, 4, 4]","[""turn_right"", ""accelerate"", ""turn_left"", ""cruise"", ""accelerate"", ""cruise"", ""accelerate"", ""cruise"", ""cruise"", ""cruise"", ""cruise""]","[0, 5, 25, 45, 65, 85, 105, 106, 126, 146, 166]","[5, 25, 45, 65, 85, 105, 106, 126, 146, 166, 178]"
